iter	MultiClass
0	2.414437346
1	2.01555526
2	1.716462192
3	1.496701702
4	1.331772974
5	1.187919271
6	1.068290087
7	0.970681162
8	0.8799938293
9	0.8062534413
10	0.7431012724
11	0.6873464438
12	0.6343874208
13	0.5909163706
14	0.5491938565
15	0.5130068856
16	0.4787268873
17	0.447286113
18	0.4182570681
19	0.3915644949
20	0.3655083646
21	0.3439395713
22	0.3241996676
23	0.3052971626
24	0.2898329914
25	0.2750362846
26	0.2624301535
27	0.2501049569
28	0.2366918442
29	0.2252902351
30	0.2148384188
31	0.2057951965
32	0.1971529719
33	0.1882578303
34	0.1791178024
35	0.1727753845
36	0.1661891312
37	0.1602814183
38	0.155530859
39	0.1495421139
40	0.1442138157
41	0.1396142003
42	0.1358340592
43	0.1318672943
44	0.1266985197
45	0.1232192473
46	0.1194197708
47	0.1152292606
48	0.1116053444
49	0.1083393082
50	0.1050177682
51	0.101968244
52	0.09956669914
53	0.09707242643
54	0.09476623988
55	0.09216699169
56	0.08922819896
57	0.0872654687
58	0.08616328761
59	0.08408202776
60	0.08216634821
61	0.08042603291
62	0.07901633795
63	0.0774546583
64	0.07581449613
65	0.07464077347
66	0.07343087949
67	0.07159995443
68	0.07046814282
69	0.06928054333
70	0.06797924179
71	0.06663162066
72	0.06579862207
73	0.06475438551
74	0.06381529184
75	0.06270071011
76	0.06137304722
77	0.06016628879
78	0.05886063449
79	0.0579123814
80	0.05690826732
81	0.05615572263
82	0.05551883073
83	0.05489864311
84	0.05403043175
85	0.05295881266
86	0.05208867274
87	0.0515370519
88	0.05069151437
89	0.04997521555
90	0.04927399537
91	0.04843192055
92	0.04772369077
93	0.04711485419
94	0.046566188
95	0.0457375997
96	0.04535323832
97	0.04469168454
98	0.04405943097
99	0.04357376175
100	0.04294116806
101	0.04238793177
102	0.04190036241
103	0.0414140334
104	0.04111630948
105	0.04061950868
106	0.0402433661
107	0.03955104796
108	0.03915174918
109	0.03885629118
110	0.0385240868
111	0.03795492104
112	0.03740587592
113	0.03707141859
114	0.03663341448
115	0.03630360372
116	0.0360589888
117	0.03551088456
118	0.03516007576
119	0.0348127385
120	0.03444633523
121	0.03401848192
122	0.03354671215
123	0.03330246079
124	0.03304341073
125	0.03263565111
126	0.03232192169
127	0.03202686044
128	0.03169478163
129	0.03138193678
130	0.03112383445
131	0.03087126076
132	0.0306914343
133	0.03046429241
134	0.03015380862
135	0.02992602479
136	0.02973248514
137	0.02932801707
138	0.02912408566
139	0.02874696911
140	0.02845288937
141	0.02828057526
142	0.02807820887
143	0.02788424294
144	0.02766947456
145	0.02752274843
146	0.02734824064
147	0.02707939246
148	0.02685564079
149	0.02667222416
150	0.0265020328
151	0.02621862863
152	0.02605627914
153	0.0258557721
154	0.02570541305
155	0.02555757929
156	0.02527117753
157	0.02510552418
158	0.02496904553
159	0.02483312966
160	0.02464525007
161	0.02445269235
162	0.02427624467
163	0.02412623345
164	0.0240116914
165	0.02388280011
166	0.02369566483
167	0.02356434109
168	0.02342468198
169	0.0233169761
170	0.02317980287
171	0.02302588543
172	0.02291802157
173	0.02281831491
174	0.02268846987
175	0.02239943528
176	0.02217894521
177	0.02207457628
178	0.02198160114
179	0.02176180638
180	0.02163872927
181	0.02144035218
182	0.02120581902
183	0.02111301497
184	0.02090437255
185	0.02076428065
186	0.02058338171
187	0.02049219435
188	0.02036581639
189	0.02031404441
190	0.02020063234
191	0.02011405295
192	0.02000101585
193	0.01990890268
194	0.01976051502
195	0.01963769893
196	0.01952595157
197	0.01944711069
198	0.01935462251
199	0.01927359144
200	0.01917646425
201	0.01906482761
202	0.01899432754
203	0.01888012275
204	0.01880407796
205	0.01864291935
206	0.01852040904
207	0.01844585186
208	0.01837970724
209	0.01827255717
210	0.01813180048
211	0.01806652526
212	0.01798793305
213	0.01780542814
214	0.01769822983
215	0.01756357598
216	0.01744754978
217	0.01731407316
218	0.01723946613
219	0.01714942476
220	0.01707641316
221	0.01696133499
222	0.01689860086
223	0.01680445548
224	0.01670557531
225	0.0166256907
226	0.01654132631
227	0.01645398253
228	0.01641100955
229	0.01631493832
230	0.016246565
231	0.01619030711
232	0.0161067857
233	0.01604742125
234	0.01599926215
235	0.01592606537
236	0.01585511114
237	0.01579249262
238	0.01571936247
239	0.01565398884
240	0.01559636858
241	0.01553541934
242	0.01547541663
243	0.01540217197
244	0.01534742729
245	0.01525550668
246	0.01518126406
247	0.01511344366
248	0.01505492295
249	0.01497379122
250	0.0149026633
251	0.01484169188
252	0.01479203553
253	0.01472440929
254	0.01459717913
255	0.01452919136
256	0.01448502558
257	0.01444881931
258	0.0143652278
259	0.01429804461
260	0.01421833416
261	0.01416850373
262	0.0141183781
263	0.01407591606
264	0.01401518789
265	0.01385910663
266	0.01381265868
267	0.01375597325
268	0.01371434722
269	0.01367716934
270	0.01364083965
271	0.01357405021
272	0.01353956424
273	0.01348574765
274	0.01343150617
275	0.01338516865
276	0.01334333221
277	0.01331288465
278	0.01327992247
279	0.01322825211
280	0.01318936995
281	0.01315838253
282	0.01311627254
283	0.01304080876
284	0.01300365639
285	0.01296443773
286	0.01293348974
287	0.01287857414
288	0.01282289069
289	0.01275177827
290	0.01271841962
291	0.01268884628
292	0.01264751527
293	0.01259269792
294	0.01251300305
295	0.01244572457
296	0.01239934681
297	0.01236180659
298	0.01230172576
299	0.01225272849
300	0.01222954067
301	0.01213773282
302	0.01208408776
303	0.01204609085
304	0.01199802145
305	0.01196951532
306	0.01194083254
307	0.01191527362
308	0.01185417786
309	0.01181295671
310	0.01176781909
311	0.01172932148
312	0.0116947751
313	0.01167204468
314	0.01163444568
315	0.01160498282
316	0.01157899419
317	0.01152694392
318	0.01146159696
319	0.01142792318
320	0.01139035519
