iter	Passed	Remaining
275	10114	26532
276	10159	26516
277	10208	26513
278	10249	26486
279	10297	26479
280	10336	26448
281	10391	26457
282	10463	26510
283	10648	26847
284	10708	26865
285	10755	26851
286	10799	26829
287	10839	26797
288	10867	26736
289	10898	26683
290	10941	26658
291	10990	26648
292	11035	26627
293	11082	26613
294	11125	26588
295	11172	26572
296	11222	26563
297	11285	26584
298	11338	26583
299	11396	26591
300	11441	26569
301	11480	26533
302	11517	26494
303	11558	26462
304	11592	26414
305	11622	26358
306	11660	26320
307	11699	26286
308	11744	26263
309	11782	26225
310	11822	26191
311	11858	26148
312	11892	26103
313	11928	26059
314	11963	26016
315	11999	25973
316	12041	25944
317	12077	25902
318	12113	25860
319	12152	25823
320	12189	25783
321	12227	25746
322	12269	25716
323	12300	25664
324	12340	25630
325	12391	25619
326	12444	25612
327	12491	25592
328	12536	25568
329	12580	25542
330	12621	25508
331	12666	25484
332	12709	25456
333	12789	25503
334	12855	25518
335	12918	25529
336	13000	25575
337	13046	25552
338	13174	25687
339	13269	25757
340	13325	25751
341	13374	25731
342	13417	25701
343	13461	25670
344	13509	25649
345	13555	25621
346	13593	25580
347	13637	25550
348	13672	25503
349	13705	25452
350	13743	25411
351	13805	25414
352	13867	25416
353	13933	25425
354	13981	25402
355	14042	25403
356	14116	25425
357	14170	25412
358	14221	25392
359	14266	25362
360	14307	25325
361	14352	25295
362	14389	25251
363	14424	25202
364	14458	25152
365	14490	25100
366	14520	25044
367	14549	24987
368	14578	24930
369	14611	24879
370	14644	24828
371	14689	24798
372	14741	24779
373	14785	24747
374	14840	24733
375	14895	24719
376	14940	24689
377	15007	24695
378	15057	24672
379	15098	24635
380	15154	24620
381	15200	24592
382	15244	24557
383	15284	24519
384	15320	24472
385	15366	24442
386	15410	24410
387	15456	24380
388	15508	24359
389	15562	24341
390	15615	24322
391	15664	24295
392	15714	24271
393	15774	24262
394	15856	24286
395	15920	24282
396	15969	24255
397	16015	24223
398	16093	24241
399	16149	24223
400	16200	24199
401	16247	24169
402	16285	24125
403	16321	24078
404	16360	24035
405	16394	23986
406	16426	23933
407	16461	23885
408	16494	23834
409	16526	23782
410	16559	23730
411	16591	23679
412	16622	23626
413	16652	23570
414	16682	23515
415	16713	23463
416	16745	23411
417	16777	23359
418	16808	23307
419	16838	23253
420	16869	23199
421	16897	23144
422	16927	23089
423	16955	23033
424	16986	22981
425	17018	22930
426	17046	22874
427	17128	22891
428	17213	22911
429	17253	22870
430	17293	22830
431	17332	22789
432	17373	22750
433	17415	22712
434	17455	22671
435	17504	22643
436	17550	22610
437	17581	22559
438	17622	22519
439	17681	22503
440	17731	22475
441	17777	22443
442	17829	22417
443	17874	22383
444	17917	22346
445	17964	22314
446	18009	22280
447	18055	22246
448	18096	22207
449	18126	22154
450	18166	22113
451	18218	22087
452	18263	22053
453	18326	22039
454	18383	22019
455	18475	22040
456	18552	22044
457	18616	22030
458	18676	22012
459	18726	21983
460	18758	21932
461	18814	21909
462	18866	21881
463	18923	21859
464	18975	21832
465	19018	21793
466	19062	21756
467	19104	21717
468	19144	21675
469	19188	21637
470	19232	21601
471	19272	21559
472	19303	21507
473	19347	21469
474	19400	21442
475	19453	21415
476	19500	21380
477	19549	21348
478	19586	21304
479	19622	21258
480	19659	21212
481	19700	21171
482	19736	21126
483	19771	21078
484	19809	21035
485	19849	20992
486	19887	20949
487	19932	20912
488	19976	20874
489	20012	20829
490	20055	20790
491	20097	20751
492	20143	20715
493	20181	20671
494	20218	20627
495	20259	20586
496	20382	20628
497	20439	20604
498	20496	20578
499	20549	20549
500	20597	20514
501	20642	20478
502	20689	20442
503	20726	20397
504	20771	20360
505	20821	20328
506	20874	20298
507	20928	20269
508	20990	20248
509	21036	20211
510	21080	20173
511	21122	20132
512	21174	20100
513	21213	20058
514	21254	20016
515	21305	19983
516	21345	19942
517	21389	19903
518	21426	19857
519	21458	19808
520	21492	19759
521	21532	19717
522	21571	19674
523	21611	19631
524	21648	19586
525	21674	19532
526	21709	19485
527	21778	19468
528	21828	19435
529	21884	19407
530	21933	19372
531	21984	19339
532	22029	19301
533	22070	19260
534	22118	19224
535	22158	19182
536	22196	19137
537	22232	19091
538	22264	19042
539	22298	18994
540	22331	18946
541	22362	18897
542	22405	18856
543	22461	18827
544	22494	18780
545	22525	18730
546	22564	18686
547	22608	18648
548	22647	18605
549	22685	18561
550	22721	18515
551	22757	18470
552	22795	18425
553	22829	18379
554	22861	18330
555	22894	18282
556	22927	18234
557	22960	18187
558	22991	18138
559	23025	18091
560	23057	18043
561	23092	17997
562	23128	17952
563	23163	17906
564	23195	17858
565	23226	17809
566	23255	17759
567	23285	17710
568	23318	17663
569	23355	17619
570	23393	17575
571	23432	17533
572	23471	17490
573	23516	17453
574	23564	17417
575	23611	17380
576	23665	17349
577	23708	17309
578	23749	17268
579	23792	17228
580	23827	17183
581	23862	17138
582	23896	17092
583	23927	17044
584	23961	16998
585	24004	16958
586	24040	16914
587	24076	16869
588	24109	16823
589	24142	16777
590	24178	16732
591	24215	16689
592	24257	16648
593	24295	16605
594	24332	16562
595	24370	16519
596	24401	16471
597	24433	16424
598	24464	16377
599	24498	16332
600	24532	16287
601	24567	16242
602	24605	16199
603	24635	16151
604	24669	16106
605	24706	16063
606	24748	16023
607	24784	15979
608	24819	15934
609	24853	15890
610	24891	15847
611	24937	15810
612	24985	15773
613	25025	15732
614	25066	15692
615	25102	15648
616	25139	15605
617	25175	15561
618	25211	15517
619	25240	15470
620	25272	15423
621	25304	15378
622	25337	15332
623	25371	15287
624	25409	15245
625	25447	15203
626	25490	15164
627	25528	15121
628	25564	15078
629	25596	15032
630	25630	14988
631	25664	14943
632	25694	14897
633	25725	14851
634	25755	14804
635	25786	14758
636	25823	14715
637	25857	14671
638	25894	14629
639	25930	14585
640	25969	14544
641	26006	14501
642	26050	14463
643	26086	14420
644	26124	14378
645	26161	14336
646	26203	14296
647	26235	14251
648	26268	14206
649	26299	14161
650	26332	14116
651	26363	14071
652	26393	14025
653	26422	13978
654	26451	13932
655	26481	13886
656	26510	13840
657	26541	13795
658	26572	13749
659	26602	13704
660	26632	13658
661	26660	13612
662	26689	13566
663	26717	13519
664	26746	13473
665	26774	13427
666	26803	13381
667	26833	13336
668	26870	13294
669	26900	13249
670	26931	13205
671	26961	13159
672	26993	13115
673	27023	13070
674	27051	13025
675	27080	12979
676	27109	12934
677	27140	12889
678	27171	12845
679	27211	12805
680	27243	12761
681	27275	12718
682	27305	12673
683	27334	12628
684	27365	12584
685	27394	12539
686	27425	12495
687	27456	12450
688	27485	12406
689	27515	12362
690	27545	12317
691	27576	12273
692	27608	12230
693	27640	12187
694	27668	12142
695	27696	12097
696	27725	12052
697	27754	12008
698	27786	11965
699	27813	11920
700	27844	11876
701	27875	11833
702	27905	11789
703	27936	11745
704	27967	11702
705	27997	11659
706	28028	11615
707	28056	11571
708	28086	11527
709	28113	11482
710	28142	11438
711	28171	11395
712	28201	11351
713	28231	11308
714	28262	11265
715	28296	11223
716	28329	11181
717	28363	11139
718	28398	11098
719	28445	11062
720	28543	11045
721	28604	11013
722	28642	10973
723	28677	10932
724	28716	10892
725	28751	10851
726	28786	10809
727	28819	10767
728	28852	10725
729	28889	10685
730	28926	10644
731	28961	10603
732	28997	10562
733	29033	10521
734	29066	10479
735	29098	10437
736	29129	10395
737	29159	10352
738	29265	10335
739	29310	10298
740	29345	10257
741	29378	10215
742	29409	10172
743	29441	10130
744	29472	10087
745	29503	10045
746	29531	10001
747	29560	9958
748	29590	9916
749	29622	9874
750	29654	9832
751	29689	9791
752	29723	9749
753	29754	9707
754	29783	9664
755	29812	9622
756	29841	9579
757	29873	9537
758	29901	9494
759	29933	9452
760	29971	9412
761	30001	9370
762	30032	9328
763	30061	9285
764	30092	9244
765	30122	9201
766	30151	9159
767	30179	9116
768	30207	9073
769	30234	9030
770	30261	8988
771	30287	8945
772	30314	8902
773	30343	8860
774	30374	8818
775	30402	8775
776	30429	8733
777	30455	8690
778	30484	8648
779	30514	8606
780	30545	8565
781	30577	8524
782	30609	8483
783	30638	8441
784	30669	8399
785	30702	8359
786	30742	8320
787	30777	8280
788	30815	8240
789	30858	8202
790	30896	8163
791	30931	8123
792	30966	8083
793	30999	8042
794	31034	8002
795	31071	7963
796	31104	7922
797	31138	7882
798	31170	7841
799	31203	7800
800	31234	7759
801	31264	7718
802	31298	7678
803	31327	7637
804	31357	7595
805	31384	7554
806	31413	7512
807	31441	7471
808	31469	7429
809	31496	7388
810	31524	7346
811	31552	7305
812	31578	7263
813	31604	7221
814	31631	7180
815	31659	7139
816	31688	7097
817	31717	7057
818	31748	7016
819	31777	6975
820	31804	6934
821	31834	6893
822	31863	6852
823	31890	6811
824	31917	6770
825	31947	6729
826	31974	6688
827	32001	6647
828	32029	6606
829	32056	6565
830	32083	6524
831	32109	6483
832	32135	6442
833	32163	6401
834	32190	6361
835	32216	6320
836	32241	6278
837	32267	6237
838	32295	6197
839	32322	6156
840	32354	6116
841	32388	6077
842	32418	6037
843	32450	5998
844	32485	5958
845	32519	5919
846	32553	5880
847	32588	5841
848	32622	5802
849	32654	5762
850	32686	5723
851	32719	5683
852	32750	5644
853	32782	5604
854	32813	5564
855	32849	5526
856	32886	5487
857	32917	5447
858	32945	5407
859	32978	5368
860	33015	5329
861	33065	5293
862	33112	5256
863	33154	5218
864	33191	5180
865	33229	5141
866	33271	5103
867	33309	5065
868	33353	5027
869	33397	4990
870	33441	4952
871	33488	4915
872	33525	4877
873	33560	4838
874	33595	4799
875	33632	4760
876	33665	4721
877	33699	4682
878	33732	4643
879	33769	4604
880	33807	4566
881	33847	4528
882	33884	4489
883	33917	4450
884	33947	4411
885	33976	4371
886	34010	4332
887	34043	4293
888	34075	4254
889	34106	4215
890	34140	4176
891	34172	4137
892	34203	4098
893	34234	4059
894	34265	4019
895	34295	3980
896	34326	3941
897	34359	3902
898	34392	3863
899	34424	3824
900	34456	3786
901	34488	3747
902	34517	3707
903	34546	3668
904	34577	3629
905	34606	3590
906	34637	3551
907	34665	3512
908	34696	3473
909	34726	3434
910	34755	3395
911	34785	3356
912	34816	3317
913	34846	3278
914	34875	3239
915	34904	3200
916	34932	3161
917	34960	3122
918	34988	3083
919	35017	3045
920	35044	3005
921	35071	2967
922	35099	2928
923	35127	2889
924	35157	2850
925	35187	2811
926	35218	2773
927	35247	2734
928	35275	2695
929	35302	2657
930	35330	2618
931	35356	2579
932	35384	2541
933	35413	2502
934	35440	2463
935	35474	2425
936	35503	2387
937	35534	2348
938	35564	2310
939	35598	2272
940	35631	2234
941	35665	2195
942	35705	2158
943	35741	2120
944	35774	2082
945	35808	2044
946	35839	2005
947	35868	1967
948	35899	1929
949	35928	1890
950	35956	1852
951	35984	1814
952	36012	1776
953	36040	1737
954	36067	1699
955	36095	1661
956	36123	1623
957	36152	1584
958	36181	1546
959	36211	1508
960	36240	1470
961	36269	1432
962	36299	1394
963	36329	1356
964	36359	1318
965	36390	1280
966	36419	1242
967	36450	1204
968	36479	1167
969	36509	1129
970	36538	1091
971	36569	1053
972	36604	1015
973	36638	978
974	36671	940
975	36703	902
976	36736	864
977	36769	827
978	36805	789
979	36846	751
980	36877	714
981	36908	676
982	36937	638
983	36967	601
984	37000	563
985	37029	525
986	37058	488
987	37093	450
988	37127	412
989	37161	375
990	37192	337
991	37222	300
992	37252	262
993	37283	225
994	37312	187
995	37342	149
996	37380	112
997	37425	75
998	37458	37
999	37489	0
